function,F,CR,run,best_fitness
Rosenbrock,0.2,0.5,10,82.9299
Rosenbrock,0.2,0.7,1,176.034
Rosenbrock,0.2,0.7,2,146.198
Rosenbrock,0.2,0.7,3,250.401
Rosenbrock,0.2,0.7,4,107.036
Rosenbrock,0.2,0.7,5,218.162
Rosenbrock,0.2,0.7,6,46.7615
Rosenbrock,0.2,0.7,7,3236.47
Rosenbrock,0.2,0.7,8,181.522
Rosenbrock,0.2,0.7,9,73.7234
Rosenbrock,0.2,0.7,10,219.367
Rosenbrock,0.2,0.9,1,5884.72
Rosenbrock,0.2,0.9,2,56149.7
Rosenbrock,0.2,0.9,3,7719.58
Rosenbrock,0.2,0.9,4,1976.12
Rosenbrock,0.2,0.9,5,2102.41
Rosenbrock,0.2,0.9,6,1991.72
Rosenbrock,0.2,0.9,7,26325.8
Rosenbrock,0.2,0.9,8,8101.6
Rosenbrock,0.2,0.9,9,4858.55
Rosenbrock,0.2,0.9,10,2120.87
Rosenbrock,0.4,0.1,1,35.2517
Rosenbrock,0.4,0.1,2,37.9772
Rosenbrock,0.4,0.1,3,28.9002
Rosenbrock,0.4,0.1,4,32.6419
Rosenbrock,0.4,0.1,5,24.0593
Rosenbrock,0.4,0.1,6,37.8957
Rosenbrock,0.4,0.1,7,27.17
Rosenbrock,0.4,0.1,8,110.514
Rosenbrock,0.4,0.1,9,79.1
Rosenbrock,0.4,0.1,10,32.8369
Rosenbrock,0.4,0.3,1,25.6424
Rosenbrock,0.4,0.3,2,26.581
Rosenbrock,0.4,0.3,3,25.7699
Rosenbrock,0.4,0.3,4,25.1871
Rosenbrock,0.4,0.3,5,25.365
Rosenbrock,0.4,0.3,6,26.7743
Rosenbrock,0.4,0.3,7,24.6489
Rosenbrock,0.4,0.3,8,25.0074
Rosenbrock,0.4,0.3,9,26.394
Rosenbrock,0.4,0.3,10,25.9592
Rosenbrock,0.4,0.5,1,26.3513
Rosenbrock,0.4,0.5,2,26.0742
Rosenbrock,0.4,0.5,3,26.3663
Rosenbrock,0.4,0.5,4,27.3366
Rosenbrock,0.4,0.5,5,26.032
Rosenbrock,0.4,0.5,6,25.6404
Rosenbrock,0.4,0.5,7,26.7412
Rosenbrock,0.4,0.5,8,26.9135
Rosenbrock,0.4,0.5,9,26.9165
Rosenbrock,0.4,0.5,10,26.1919
Rosenbrock,0.4,0.7,1,27.1559
Rosenbrock,0.4,0.7,2,26.6235
Rosenbrock,0.4,0.7,3,25.3303
Rosenbrock,0.4,0.7,4,26.945
Rosenbrock,0.4,0.7,5,26.0091
Rosenbrock,0.4,0.7,6,26.3136
Rosenbrock,0.4,0.7,7,26.8939
Rosenbrock,0.4,0.7,8,26.0033
Rosenbrock,0.4,0.7,9,26.7336
Rosenbrock,0.4,0.7,10,26.906
Rosenbrock,0.4,0.9,1,83.6143
Rosenbrock,0.4,0.9,2,49.7031
Rosenbrock,0.4,0.9,3,74.7652
Rosenbrock,0.4,0.9,4,228.009
Rosenbrock,0.4,0.9,5,86.6861
Rosenbrock,0.4,0.9,6,86.3303
Rosenbrock,0.4,0.9,7,81.2396
Rosenbrock,0.4,0.9,8,112.336
Rosenbrock,0.4,0.9,9,36.5911
Rosenbrock,0.4,0.9,10,55.3656
Rosenbrock,0.6,0.1,1,33.2975
Rosenbrock,0.6,0.1,2,43.7511
Rosenbrock,0.6,0.1,3,32.1916
Rosenbrock,0.6,0.1,4,35.7109
Rosenbrock,0.6,0.1,5,40.9552
Rosenbrock,0.6,0.1,6,34.4791
Rosenbrock,0.6,0.1,7,61.4314
Rosenbrock,0.6,0.1,8,40.6238
Rosenbrock,0.6,0.1,9,41.2486
Rosenbrock,0.6,0.1,10,51.4406
Rosenbrock,0.6,0.3,1,26.0875
Rosenbrock,0.6,0.3,2,26.4773
Rosenbrock,0.6,0.3,3,25.883
Rosenbrock,0.6,0.3,4,26.7205
Rosenbrock,0.6,0.3,5,25.9927
Rosenbrock,0.6,0.3,6,25.9248
Rosenbrock,0.6,0.3,7,26.6214
Rosenbrock,0.6,0.3,8,26.5572
Rosenbrock,0.6,0.3,9,25.7973
Rosenbrock,0.6,0.3,10,27.5695
Rosenbrock,0.6,0.5,1,27.1671
Rosenbrock,0.6,0.5,2,26.9011
Rosenbrock,0.6,0.5,3,26.5713
Rosenbrock,0.6,0.5,4,26.2434
Rosenbrock,0.6,0.5,5,27.7964
Rosenbrock,0.6,0.5,6,26.9734
Rosenbrock,0.6,0.5,7,26.1355
Rosenbrock,0.6,0.5,8,26.2189
Rosenbrock,0.6,0.5,9,26.3169
Rosenbrock,0.6,0.5,10,27.0087
Rosenbrock,0.6,0.7,1,27.5932
Rosenbrock,0.6,0.7,2,28.2384
Rosenbrock,0.6,0.7,3,29.3636
Rosenbrock,0.6,0.7,4,27.905
